p,a,1,巴,
p,a,2,把,
p,a,3,霸,
p,a,5,爸,
p,a,6,罷,
p,a,7,,
p,ah,4,/,
p,ah,8,/,
p,ai,1,杯,
p,ai,2,捭,
p,ai,3,拜,
p,ai,5,碚,
p,ai,6,狽,
p,ai,7,敗,
p,ainn,1,,
p,ainn,2,板,
p,ainn,3,,
p,ainn,5,爿,
p,ainn,6,,
p,ainn,7,,
p,ak,4,八,
p,ak,8,薄,
p,am,1,/,
p,am,2,/,
p,am,3,/,
p,am,5,/,
p,am,6,/,
p,am,7,/,
p,an,1,班,
p,an,2,扳,
p,an,3,扮,
p,an,5,瓶,
p,an,6,,
p,an,7,辦,
p,ang,1,班,
p,ang,2,扳,
p,ang,3,扮,
p,ang,5,房,
p,ang,6,蚌,
p,ang,7,辦,
p,ann,1,,汽车鸣笛声
p,ann,2,,
p,ann,3,,
p,ann,5,,
p,ann,6,,
p,ann,7,,
p,ap,4,/,
p,ap,8,/,
p,at,4,八,
p,at,8,別,
p,au,1,包,
p,au,2,保,
p,au,3,趵,
p,au,5,醅,
p,au,6,雹,
p,au,7,哺,
p,auh,4,,煎煮焦了
p,auh,8,,拟声
p,aunn,1,/,
p,aunn,2,/,
p,aunn,3,/,
p,aunn,5,/,
p,aunn,6,/,
p,aunn,7,/,
p,e,1,唄,
p,e,2,把,
p,e,3,,
p,e,5,扒,
p,e,6,爸,
p,e,7,,
p,eh,4,掰,
p,eh,8,白,
p,ek,4,百,
p,ek,8,白,
p,en,1,浜,
p,en,2,丙,
p,en,3,柄,
p,en,5,憑,
p,en,6,栟,
p,en,7,,
p,eng,1,浜,
p,eng,2,箅,
p,eng,3,篦,
p,eng,5,憑,
p,eng,6,栟,
p,eng,7,,
p,enn,1,扳,
p,enn,2,,
p,enn,3,把,
p,enn,5,棚,
p,enn,6,,
p,enn,7,病,
p,et,4,百,
p,et,8,白,
p,eu,1,/,
p,eu,2,/,
p,eu,3,/,
p,eu,5,/,
p,eu,6,/,
p,eu,7,/,
p,i,1,陂,
p,i,2,稗,
p,i,3,背,
p,i,5,髀,
p,i,6,被,
p,i,7,弊,
p,ia,1,/,
p,ia,2,/,
p,ia,3,/,
p,ia,5,/,
p,ia,6,/,
p,ia,7,/,
p,iah,4,壁,
p,iah,8,,
p,iak,4,鱉,
p,iak,8,別,
p,iam,1,/,
p,iam,2,/,
p,iam,3,/,
p,iam,5,/,
p,iam,6,/,
p,iam,7,/,
p,ian,1,編,
p,ian,2,萹,
p,ian,3,辦,
p,ian,5,,
p,ian,6,瓣,
p,ian,7,,
p,iang,1,編,
p,iang,2,萹,
p,iang,3,辦,
p,iang,5,,
p,iang,6,瓣,
p,iang,7,,
p,iann,1,冰,
p,iann,2,丙,
p,iann,3,併,
p,iann,5,搬,
p,iann,6,,
p,iann,7,,
p,iap,4,/,
p,iap,8,/,
p,iat,4,鱉,
p,iat,8,別,
p,iau,1,標,
p,iau,2,表,
p,iau,3,裱,
p,iau,5,,
p,iau,6,鰾,
p,iau,7,,
p,iauh,4,,
p,iauh,8,,
p,iaunn,1,/,
p,iaunn,2,/,
p,iaunn,3,/,
p,iaunn,5,/,
p,iaunn,6,/,
p,iaunn,7,/,
p,ie,1,標,
p,ie,2,表,
p,ie,3,裱,
p,ie,5,,
p,ie,6,,
p,ie,7,,
p,ieh,4,,
p,ieh,8,,
p,iek,4,鱉,
p,iek,8,別,
p,iem,1,/,
p,iem,2,/,
p,iem,3,/,
p,iem,5,/,
p,iem,6,/,
p,iem,7,/,
p,ien,1,編,
p,ien,2,萹,
p,ien,3,辦,
p,ien,5,,
p,ien,6,瓣,
p,ien,7,,
p,ieng,1,編,
p,ieng,2,萹,
p,ieng,3,辦,
p,ieng,5,,
p,ieng,6,瓣,
p,ieng,7,,
p,ienn,1,/,
p,ienn,2,/,
p,ienn,3,/,
p,ienn,5,/,
p,ienn,6,/,
p,ienn,7,/,
p,iep,4,/,
p,iep,8,/,
p,iet,4,鱉,
p,iet,8,別,
p,ieu,1,標,
p,ieu,2,表,
p,ieu,3,裱,
p,ieu,5,,
p,ieu,6,鰾,
p,ieu,7,,
p,ieuh,4,/,
p,ieuh,8,/,
p,ieunn,1,/,
p,ieunn,2,/,
p,ieunn,3,/,
p,ieunn,5,/,
p,ieunn,6,/,
p,ieunn,7,/,
p,ih,4,鱉,
p,ih,8,,
p,ik,4,筆,
p,ik,8,苾,
p,im,1,/,
p,im,2,/,
p,im,3,/,
p,im,5,/,
p,im,6,/,
p,im,7,/,
p,in,1,邠,
p,in,2,箅,
p,in,3,篦,
p,in,5,,
p,in,6,,从……开始
p,in,7,,事先做好了
p,ing,1,邠,
p,ing,2,箅,
p,ing,3,篦,
p,ing,5,,
p,ing,6,,
p,ing,7,,
p,inn,1,編,
p,inn,2,扁,
p,inn,3,遍,
p,inn,5,,
p,inn,6,,
p,inn,7,,
p,innh,4,/,
p,innh,8,/,
p,io,1,標,
p,io,2,表,
p,io,3,裱,
p,io,5,,
p,io,6,,
p,io,7,,
p,ioh,4,/,
p,ioh,8,/,
p,iok,4,/,
p,iok,8,/,
p,iong,1,/,
p,iong,2,/,
p,iong,3,/,
p,iong,5,/,
p,iong,6,/,
p,iong,7,/,
p,ionn,1,/,
p,ionn,2,/,
p,ionn,3,/,
p,ionn,5,/,
p,ionn,6,/,
p,ionn,7,/,
p,iou,1,標,
p,iou,2,表,
p,iou,3,裱,
p,iou,5,,
p,iou,6,鰾,
p,iou,7,,
p,ip,4,/,
p,ip,8,/,
p,it,4,筆,
p,it,8,苾,
p,iu,1,彪,
p,iu,2,,
p,iu,3,,
p,iu,5,,
p,iu,6,,
p,iu,7,,
p,iuh,4,,
p,iuh,8,,
p,iunn,1,/,
p,iunn,2,/,
p,iunn,3,/,
p,iunn,5,/,
p,iunn,6,/,
p,iunn,7,/,
p,iunnh,4,/,
p,iunnh,8,/,
p,m,1,/,
p,m,2,/,
p,m,3,/,
p,m,5,/,
p,m,6,/,
p,m,7,/,
p,ng,1,方,
p,ng,2,本,
p,ng,3,,
p,ng,5,,
p,ng,6,,
p,ng,7,飯,
p,ngh,4,/,
p,ngh,8,/,
p,o,1,陂,
p,o,2,保,
p,o,3,報,
p,o,5,蟆,
p,o,6,薄,
p,o,7,,
p,oh,4,駁,
p,oh,8,薄,
p,oi,1,,拍子
p,oi,2,,
p,oi,3,,
p,oi,5,,
p,oi,6,,
p,oi,7,,
p,oih,4,八,
p,oih,8,拔,
p,oinn,1,,
p,oinn,2,板,
p,oinn,3,,
p,oinn,5,爿,
p,oinn,6,,
p,oinn,7,,
p,ok,4,百,
p,ok,8,白,
p,om,1,/,
p,om,2,/,
p,om,3,/,
p,om,5,/,
p,om,6,/,
p,om,7,/,
p,ong,1,,扫耳光
p,ong,2,甭,
p,ong,3,,
p,ong,5,泵,
p,ong,6,,
p,ong,7,磅,
p,onn,1,/,
p,onn,2,/,
p,onn,3,/,
p,onn,5,/,
p,onn,6,/,
p,onn,7,/,
p,ou,1,埠,
p,ou,2,補,
p,ou,3,布,
p,ou,5,醅,
p,ou,6,部,
p,ou,7,哺,
p,ounn,1,/,
p,ounn,2,/,
p,ounn,3,/,
p,ounn,5,/,
p,ounn,6,/,
p,ounn,7,/,
p,r,1,/,
p,r,2,/,
p,r,3,/,
p,r,5,/,
p,r,6,/,
p,r,7,/,
p,rh,4,/,
p,rh,8,/,
p,u,1,逋,
p,u,2,補,
p,u,3,布,
p,u,5,煲,
p,u,6,捕,
p,u,7,,
p,ua,1,,
p,ua,2,,
p,ua,3,播,
p,ua,5,,
p,ua,6,,
p,ua,7,,
p,uah,4,缽,
p,uah,8,跋,
p,uai,1,,
p,uai,2,,
p,uai,3,,
p,uai,5,,
p,uai,6,,
p,uai,7,,
p,uainn,1,/,
p,uainn,2,/,
p,uainn,3,/,
p,uainn,5,/,
p,uainn,6,/,
p,uainn,7,/,
p,uak,4,般,
p,uak,8,拔,
p,uam,1,/,
p,uam,2,/,
p,uam,3,/,
p,uam,5,/,
p,uam,6,/,
p,uam,7,/,
p,uan,1,般,
p,uan,2,,
p,uan,3,半,
p,uan,5,,
p,uan,6,伴,
p,uan,7,,
p,uang,1,般,
p,uang,2,,
p,uang,3,半,
p,uang,5,,
p,uang,6,伴,
p,uang,7,,
p,uann,1,般,
p,uann,2,,
p,uann,3,半,
p,uann,5,盤,
p,uann,6,,棒打
p,uann,7,,
p,uap,4,/,
p,uap,8,/,
p,uat,4,般,
p,uat,8,拔,
p,ue,1,杯,
p,ue,2,掰,
p,ue,3,貝,
p,ue,5,碚,
p,ue,6,揹,
p,ue,7,焙,
p,ueh,4,,
p,ueh,8,,
p,uei,1,杯,
p,uei,2,掰,
p,uei,3,貝,
p,uei,5,碚,
p,uei,6,揹,
p,uei,7,焙,
p,ueih,4,,
p,ueih,8,,
p,ueinn,1,/,
p,ueinn,2,/,
p,ueinn,3,/,
p,ueinn,5,/,
p,ueinn,6,/,
p,ueinn,7,/,
p,uek,4,般,
p,uek,8,拔,
p,uen,1,般,
p,uen,2,,
p,uen,3,半,
p,uen,5,,
p,uen,6,伴,
p,uen,7,,
p,ueng,1,般,
p,ueng,2,,
p,ueng,3,半,
p,ueng,5,,
p,ueng,6,伴,
p,ueng,7,,
p,uenn,1,/,
p,uenn,2,/,
p,uenn,3,/,
p,uenn,5,/,
p,uenn,6,/,
p,uenn,7,/,
p,uet,4,般,
p,uet,8,拔,
p,uh,4,,扎针
p,uh,8,,
p,ui,1,卑,
p,ui,2,,
p,ui,3,背,
p,ui,5,肥,
p,ui,6,背,
p,ui,7,吠,
p,uinn,1,/,
p,uinn,2,/,
p,uinn,3,/,
p,uinn,5,/,
p,uinn,6,/,
p,uinn,7,/,
p,uk,4,不,
p,uk,8,,
p,un,1,奔,
p,un,2,本,
p,un,3,畚,
p,un,5,㖹,
p,un,6,,
p,un,7,,
p,ung,1,奔,
p,ung,2,本,
p,ung,3,畚,
p,ung,5,㖹,
p,ung,6,,
p,ung,7,飯,
p,uoinn,1,/,
p,uoinn,2,/,
p,uoinn,3,/,
p,uoinn,5,/,
p,uoinn,6,/,
p,uoinn,7,/,
p,ut,4,不,
p,ut,8,,
p,v,1,/,
p,v,2,/,
p,v,3,/,
p,v,5,/,
p,v,6,/,
p,v,7,/,
p,vh,4,/,
p,vh,8,/,
p,vk,4,/,
p,vk,8,/,
p,vn,1,/,
p,vn,2,/,
p,vn,3,/,
p,vn,5,/,
p,vn,6,/,
p,vn,7,/,
p,vng,1,方,
p,vng,2,本,
p,vng,3,,
p,vng,5,,
p,vng,6,,
p,vng,7,飯,
p,vt,4,/,
p,vt,8,/,
ph,a,1,趴,
ph,a,2,,
ph,a,3,帕,
ph,a,5,耙,
ph,a,6,泡,
ph,a,7,,
ph,ah,4,打,
ph,ah,8,,
ph,ai,1,,
ph,ai,2,痞,
ph,ai,3,茷,
ph,ai,5,,
ph,ai,6,,
ph,ai,7,,
ph,ainn,1,,
ph,ainn,2,,
ph,ainn,3,,
ph,ainn,5,,
ph,ainn,6,,
ph,ainn,7,辦,
ph,ak,4,博,
ph,ak,8,雹,
ph,am,1,/,
ph,am,2,/,
ph,am,3,/,
ph,am,5,/,
ph,am,6,/,
ph,am,7,/,
ph,an,1,攀,
ph,an,2,,
ph,an,3,盼,
ph,an,5,,
ph,an,6,,
ph,an,7,,
ph,ang,1,芳,
